date,title,description,importance,subjects
1963-08-28,March on Washington,Martin Luther King delivers I Have a Dream speech advancing civil rights,4,"King,Civil Rights,Washington,Speech"
1969-08-15,Woodstock Festival,Woodstock Music Festival becomes symbol of 1960s counterculture movement,2,"Woodstock,Music,Culture,Festival"
1973-10-17,Oil Crisis,Arab oil embargo triggers global energy crisis and economic recession,3,"Oil,Energy,Crisis,Economy"
1986-04-26,Chernobyl Disaster,Nuclear power plant explosion in Ukraine causes worst nuclear accident in history,4,"Chernobyl,Nuclear,Disaster,Ukraine"
1989-11-09,Berlin Wall Falls,Fall of Berlin Wall symbolizes end of Cold War and German reunification,4,"Berlin Wall,Cold War,Germany,Reunification"
1991-12-25,Soviet Union Dissolves,USSR officially dissolves ending Cold War era and reshaping global politics,5,"Soviet Union,Cold War,Politics,Dissolution"
2001-09-11,September 11 Attacks,Terrorist attacks on World Trade Center and Pentagon reshape global security,5,"Terrorism,9/11,Security,Politics"
2008-11-04,Obama Elected,Barack Obama elected as first African American president of United States,3,"Obama,President,Election,History"
2016-06-23,Brexit Vote,United Kingdom votes to leave European Union triggering political upheaval,3,"Brexit,UK,EU,Politics"
1928-09-28,Penicillin Discovery,Alexander Fleming discovers penicillin launching antibiotic revolution in medicine,5,"Fleming,Penicillin,Medicine,Antibiotics"
1944-02-20,DNA Role Discovered,Oswald Avery proves DNA carries genetic information transforming biology,4,"Avery,DNA,Genetics,Biology"
1953-04-25,DNA Double Helix,Watson Crick and Franklin determine DNA double helix structure,5,"Watson,Crick,DNA,Structure"
1973-04-03,Cell Phone Call,Martin Cooper makes first mobile phone call using Motorola prototype,3,"Cooper,Mobile,Phone,Technology"
1981-06-05,AIDS Identified,First cases of AIDS identified beginning global health crisis,4,"AIDS,Health,Disease,Crisis"
1996-07-05,Dolly Cloned,Dolly the sheep becomes first successfully cloned mammal from adult cell,4,"Dolly,Cloning,Genetics,Science"
2003-04-14,Genome Complete,Human Genome Project announces completion of human DNA sequencing,5,"Genome,DNA,Medicine,Genetics"
2020-01-11,COVID Genome,Chinese scientists share COVID-19 genome sequence enabling vaccine development,4,"COVID,Genome,Vaccine,Science"
